candidate,temperature_c,current_a,total_reward,progress_reward,thermal_penalty,time_penalty,smoothness_penalty,safety_penalty
Candidate_A1,35.0,140.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A1,35.0,160.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A1,36.0,120.0,-0.05257060651881721,0.0,0.0,0.05,0.0,0.0
Candidate_A1,36.0,140.0,-0.053498865927419356,0.0,0.0,0.05,0.0,0.0
Candidate_A1,36.0,160.0,-0.05456993447580646,0.0,0.0,0.05,0.0,0.0
Candidate_A1,38.0,120.0,-0.07313545866935484,0.0,0.0,0.05,0.0,0.0
Candidate_A1,38.0,140.0,-0.0814897933467742,0.0,0.0,0.05,0.0,0.0
Candidate_A1,38.0,160.0,-0.09112941028225807,0.0,0.0,0.05,0.0,0.0
Candidate_A1,40.0,120.0,-0.1142651629704301,0.0,0.0,0.05,0.0,0.0
Candidate_A1,40.0,140.0,-0.1374716481854839,0.0,0.0,0.05,0.0,0.0
Candidate_A1,40.0,160.0,-0.1642483618951613,0.0,0.0,0.05,0.0,0.0
Candidate_A1,42.0,120.0,-0.275959719422043,0.0,0.0,0.05,0.0,0.0
Candidate_A1,42.0,140.0,-0.3214444304435484,0.0,0.0,0.05,0.0,0.0
Candidate_A1,42.0,160.0,-0.3739267893145161,0.0,0.0,0.05,0.0,0.0
Candidate_A1,45.0,120.0,-0.5570606518817204,0.0,0.0,0.05,0.0,0.0
Candidate_A1,45.0,140.0,-0.6498865927419355,0.0,0.0,0.05,0.0,0.0
Candidate_A1,45.0,160.0,-0.7569934475806452,0.0,0.0,0.05,0.0,0.0
Candidate_A2,33.0,120.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A2,33.0,140.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A2,33.0,160.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A2,34.0,120.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A2,34.0,140.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A2,34.0,160.0,-0.05,0.0,0.0,0.05,0.0,0.0
