rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/value_loss,train/std,train/learning_rate,train/loss,train/explained_variance,seed,candidate,sanity_check_wh_per_km,sanity_check_regen_pct
-20.9716396,1432,51,1799.0,36,73728,0.0010644342567372,0.2,-1.244521372375034,281.0,0.0056134574,0.0219494047619047,0.1479743408216607,0.838642954826355,0.0003,0.0440488383173942,0.8749605417251587,42,Cand_B3_100k,128.9225,98.87
-19.840284000000004,1430,52,1799.0,37,75776,-0.0008440823798688,0.2,-1.233670879293371,290.0,0.0067060078,0.0409143518518518,0.1953411481584663,0.8245107531547546,0.0003,0.1528767645359039,0.8802043795585632,42,Cand_B3_100k,128.9225,98.87
-19.33346934883721,1424,54,1799.0,38,77824,0.0005845897234394,0.2,-1.2289958082139492,300.0,0.0043013203,0.030419921875,0.1627769472077488,0.8306690454483032,0.0003,0.0609321147203445,0.9009667038917542,42,Cand_B3_100k,128.9225,98.87
-18.821626772727274,1436,55,1799.0,39,79872,-0.001475487185149,0.2,-1.2338171496110804,302.0,0.011717207,0.0220588235294117,0.2472551102366517,0.831514298915863,0.0003,0.1184205263853073,0.8211647868156433,42,Cand_B3_100k,128.9225,98.87
-18.3847126,1431,57,1799.0,40,81920,0.000540562441165,0.2,-1.2238288205116987,312.0,0.002638405,0.02568359375,0.1273642567568458,0.8149437308311462,0.0003,0.0387417674064636,0.8897875547409058,42,Cand_B3_100k,128.9225,98.87
-18.0007285,1442,58,1799.0,41,83968,0.0002646588474615,0.2,-1.2136284854676989,314.0,0.004408012,0.0361111111111111,0.2438672333955764,0.8138008117675781,0.0003,0.0773883759975433,0.834043025970459,42,Cand_B3_100k,128.9225,98.87
-17.60474380851064,1448,59,1799.0,42,86016,-0.0035120233489364,0.2,-1.209008579745012,319.0,0.010980123,0.0361902573529411,0.168199369985172,0.8080293536186218,0.0003,0.0805439949035644,0.8779656887054443,42,Cand_B3_100k,128.9225,98.87
-17.215540229166667,1444,60,1799.0,43,88064,0.0004476029716897,0.2,-1.213254689052701,329.0,0.004368248,0.028955078125,0.1918167830444872,0.8190988898277283,0.0003,0.07219198346138,0.8847047090530396,42,Cand_B3_100k,128.9225,98.87
-16.47316922,1456,61,1799.0,44,90112,0.0007220172824767,0.2,-1.2189756723550649,330.0,0.0043252315,0.0540865384615384,0.255875282562696,0.8182663917541504,0.0003,0.1322789937257766,0.9028132557868958,42,Cand_B3_100k,128.9225,98.87
-16.070851862745098,1453,63,1799.0,45,92160,0.0003196056633896,0.2,-1.2076657876372336,340.0,0.0044750194,0.022900390625,0.1717263075872324,0.8032967448234558,0.0003,0.1396048367023468,0.9070284962654114,42,Cand_B3_100k,128.9225,98.87
-15.71698626923077,1456,64,1799.0,46,94208,0.0009454688865362,0.2,-1.193660398791818,346.0,0.007102856,0.0363970588235294,0.1316979076275054,0.7944948673248291,0.0003,0.1051933467388153,0.8932728171348572,42,Cand_B3_100k,128.9225,98.87
-15.344513264150942,1452,66,1799.0,47,96256,0.0014873645654006,0.2,-1.1834495589137075,356.0,0.0041926736,0.03037109375,0.1647748435148969,0.7864986658096313,0.0003,0.0855999365448951,0.9045894742012024,42,Cand_B3_100k,128.9225,98.87
-14.988227833333331,1458,67,1799.0,48,98304,-0.0007286924525703,0.2,-1.1769009891309237,359.0,0.004246342,0.0396381578947368,0.1498337866444336,0.782998263835907,0.0003,0.0823668092489242,0.919391930103302,42,Cand_B3_100k,128.9225,98.87
-14.634444545454546,1455,68,1799.0,49,100352,0.0001204259768461,0.2,-1.169392500604902,368.0,0.0065635215,0.0376116071428571,0.2487754341480987,0.7753657698631287,0.0003,0.135942056775093,0.8629884719848633,42,Cand_B3_100k,128.9225,98.87
